Date,Open,High,Low,Close,Adj Close,Volume
1998-11-27,3.549999952316284,3.549999952316284,2.7100000381469727,3.4000000953674316,2.251370906829834,21000
1998-11-30,3.25,3.299999952316284,3.0999999046325684,3.2100000381469727,2.1255593299865723,132000
1998-12-01,3.2899999618530273,3.4600000381469727,3.2200000286102295,3.390000104904175,2.244749069213867,123500
1998-12-02,3.359999895095825,3.440000057220459,3.319999933242798,3.390000104904175,2.244749069213867,75500
1998-12-03,3.440000057220459,3.490000009536743,3.369999885559082,3.390000104904175,2.244749069213867,102000
1998-12-04,3.3399999141693115,3.4100000858306885,3.299999952316284,3.390000104904175,2.244749069213867,71000
1998-12-07,3.380000114440918,3.440000057220459,3.3499999046325684,3.380000114440918,2.2381274700164795,26000
1998-12-08,3.380000114440918,3.4000000953674316,3.2300000190734863,3.240000009536743,2.1454238891601562,32500
1998-12-09,3.2899999618530273,3.3399999141693115,3.2300000190734863,3.240000009536743,2.1454238891601562,15000
1998-12-10,3.240000009536743,3.2699999809265137,3.190000057220459,3.200000047683716,2.1189374923706055,36000
1998-12-11,3.2200000286102295,3.240000009536743,3.119999885559082,3.1600000858306885,2.0924503803253174,37500
1998-12-14,3.259999990463257,3.259999990463257,3.1600000858306885,3.180000066757202,2.105694055557251,18500
1998-12-15,3.200000047683716,3.200000047683716,3.1500000953674316,3.1500000953674316,2.085829019546509,8500
1998-12-16,3.140000104904175,3.1600000858306885,3.0999999046325684,3.130000114440918,2.0725855827331543,43000
1998-12-17,3.0299999713897705,3.119999885559082,3.0299999713897705,3.0799999237060547,2.0394773483276367,14000
1998-12-18,3.059999942779541,3.119999885559082,2.990000009536743,3.0,1.9865039587020874,72500
1998-12-21,3.1500000953674316,3.1600000858306885,3.049999952316284,3.049999952316284,2.0196123123168945,35500
1998-12-22,3.069999933242798,3.069999933242798,3.0,3.059999942779541,2.0262339115142822,22000
1998-12-23,3.0399999618530273,3.069999933242798,3.0,3.0399999618530273,2.0129902362823486,20000
1998-12-24,2.9200000762939453,3.059999942779541,2.9200000762939453,3.0,1.9865039587020874,29000
1998-12-25,3.0,3.0,3.0,3.0,1.9865039587020874,0
1998-12-28,3.0,3.069999933242798,3.0,3.0,1.9865039587020874,11000
1998-12-29,3.009999990463257,3.0999999046325684,3.0,3.049999952316284,2.0196123123168945,24000
1998-12-30,3.130000114440918,3.5399999618530273,3.130000114440918,3.4100000858306885,2.2579925060272217,47000
1998-12-31,3.4000000953674316,3.4000000953674316,3.2100000381469727,3.240000009536743,2.1454238891601562,48500
1999-01-01,3.319999933242798,3.3399999141693115,3.2300000190734863,3.2699999809265137,2.1652894020080566,337500
1999-01-04,3.4000000953674316,3.5399999618530273,3.4000000953674316,3.4100000858306885,2.2579925060272217,50000
1999-01-05,3.359999895095825,3.359999895095825,3.1700000762939453,3.200000047683716,2.1189374923706055,44000
1999-01-06,3.2699999809265137,3.2699999809265137,3.1500000953674316,3.200000047683716,2.1189374923706055,47000
1999-01-07,3.200000047683716,3.559999942779541,3.200000047683716,3.3499999046325684,2.2182629108428955,104000
1999-01-08,3.440000057220459,3.549999952316284,3.4000000953674316,3.4100000858306885,2.2579925060272217,220000
1999-01-11,3.5999999046325684,3.6500000953674316,3.4100000858306885,3.509999990463257,2.3242099285125732,172500
1999-01-12,3.450000047683716,3.5999999046325684,3.369999885559082,3.430000066757202,2.2712361812591553,47500
1999-01-13,3.4100000858306885,3.4700000286102295,3.4000000953674316,3.4200000762939453,2.2646141052246094,25500
1999-01-14,3.359999895095825,3.4000000953674316,3.299999952316284,3.359999895095825,2.224884510040283,9000
1999-01-15,3.4000000953674316,3.4000000953674316,3.130000114440918,3.190000057220459,2.112316131591797,31000
1999-01-18,3.190000057220459,3.259999990463257,3.1500000953674316,3.259999990463257,2.15866756439209,9000
1999-01-19,3.3499999046325684,3.3499999046325684,3.25,3.299999952316284,2.1851539611816406,7500
1999-01-20,3.299999952316284,3.299999952316284,3.299999952316284,3.299999952316284,2.1851539611816406,0
1999-01-21,3.0999999046325684,3.259999990463257,2.940000057220459,3.25,2.152045488357544,10500
1999-01-22,3.299999952316284,3.380000114440918,3.2200000286102295,3.259999990463257,2.15866756439209,4500
